event_id,subject_id,name,year,axis,polarity,description,measurement_basis,source,taxonomy_confirmed,source_confirmed,v4_expansion_observation
V4EXP_MLV2_DEV_001_PROJECT_NEG_2014,MLV2_DEV_001,Aaron Eckhart,2014,PROJECT,negative,"I, Frankenstein produced weak worldwide box office relative to its production budget.",commercial_underperformance,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/I-Frankenstein', 'reference': 'https://www.the-numbers.com/movie/I-Frankenstein', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_001_PROJECT_POS_2016,MLV2_DEV_001,Aaron Eckhart,2016,PROJECT,positive,Sully became a strong worldwide box-office success.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Sully', 'reference': 'https://www.the-numbers.com/movie/Sully', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_011_PROJECT_NEG_2002,MLV2_DEV_011,Antonio Banderas,2002,PROJECT,negative,Ballistic: Ecks vs. Sever was a severe financial and critical failure.,commercial_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Ballistic-Ecks-vs-Sever', 'reference': 'https://www.the-numbers.com/movie/Ballistic-Ecks-vs-Sever', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_011_PROJECT_POS_2011,MLV2_DEV_011,Antonio Banderas,2011,PROJECT,positive,Puss in Boots became a large worldwide box-office success.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Puss-in-Boots', 'reference': 'https://www.the-numbers.com/movie/Puss-in-Boots', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_027_COMPETITIVE_NEG_1963,NEWDEV2_027,Billie Jean King,1963,COMPETITIVE,negative,Lost the Wimbledon singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'reference': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_027_COMPETITIVE_POS_1966,NEWDEV2_027,Billie Jean King,1966,COMPETITIVE,positive,Won the Wimbledon singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'reference': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_027_COMPETITIVE_NEG_1969,NEWDEV2_027,Billie Jean King,1969,COMPETITIVE,negative,Lost the Wimbledon singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'reference': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_027_COMPETITIVE_NEG_1970,NEWDEV2_027,Billie Jean King,1970,COMPETITIVE,negative,Lost the Wimbledon singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'reference': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_027_COMPETITIVE_POS_1972,NEWDEV2_027,Billie Jean King,1972,COMPETITIVE,positive,Won the Wimbledon singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'reference': 'https://www.wtatennis.com/legends/110100/billie-jean-king/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_029_COMPETITIVE_NEG_1969,NEWDEV2_029,Billy Casper,1969,COMPETITIVE,negative,Finished tied for second at the Masters.,explicit_outcome,"{'verification_status': 'CONFIRMED_PREVIOUS_V4_REVIEW', 'url': None, 'reference': 'Golf major historical results', 'lineage_event_id': 'NEWDEV2_029_E002', 'lineage_file': 'V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv'}",True,True,True
V4EXP_NEWDEV2_029_COMPETITIVE_POS_1970,NEWDEV2_029,Billy Casper,1970,COMPETITIVE,positive,Won the Masters Tournament.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.pga.com/story/past-winners-of-the-masters-tournament', 'reference': 'https://www.pga.com/story/past-winners-of-the-masters-tournament', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_012_PROJECT_NEG_1998,MLV2_DEV_012,Billy Crystal,1998,PROJECT,negative,My Giant produced weak box-office results.,commercial_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/My-Giant', 'reference': 'https://www.the-numbers.com/movie/My-Giant', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_012_PROJECT_POS_1999,MLV2_DEV_012,Billy Crystal,1999,PROJECT,positive,Analyze This became a major box-office success.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Analyze-This', 'reference': 'https://www.the-numbers.com/movie/Analyze-This', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_031_COMPETITIVE_NEG_1976,NEWDEV2_031,Billy Martin,1976,COMPETITIVE,negative,Managed the Yankees in a World Series loss.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.mlb.com/postseason/history/1976', 'reference': 'https://www.mlb.com/postseason/history/1976', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_031_COMPETITIVE_POS_1977,NEWDEV2_031,Billy Martin,1977,COMPETITIVE,positive,Managed the Yankees to a World Series championship.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.mlb.com/postseason/history/1977', 'reference': 'https://www.mlb.com/postseason/history/1977', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_002_PROJECT_NEG_1969,NEWDEV2_002,Bob Fosse,1969,PROJECT,negative,Sweet Charity was a costly box-office disappointment.,overall_project_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.tcm.com/articles/87919/sweet-charity', 'reference': 'https://www.tcm.com/articles/87919/sweet-charity', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_002_PROJECT_POS_1972,NEWDEV2_002,Bob Fosse,1972,PROJECT,positive,Cabaret became a major successful film and awards landmark.,overall_project_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.tcm.com/articles/25853/cabaret', 'reference': 'https://www.tcm.com/articles/25853/cabaret', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_005_COMPETITIVE_NEG_1975,NEWDEV2_005,Bob Knight,1975,COMPETITIVE,negative,Indiana finished 31-1 after losing in the NCAA Elite Eight.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.bobknight.com/coaching-record', 'reference': 'https://www.bobknight.com/coaching-record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_005_COMPETITIVE_POS_1976,NEWDEV2_005,Bob Knight,1976,COMPETITIVE,positive,Indiana completed a 32-0 season and won the NCAA championship.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.bobknight.com/coaching-record', 'reference': 'https://www.bobknight.com/coaching-record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_005_STATUS_NEG_2000,NEWDEV2_005,Bob Knight,2000,STATUS,negative,Was fired as Indiana head coach.,role_loss,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://texastech.com/news/2001/3/23/knight_returns_to_coaching_at_texas_tech', 'reference': 'https://texastech.com/news/2001/3/23/knight_returns_to_coaching_at_texas_tech', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
