index,batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason,source_quality_norm,fuzzy_primary_semantics
1,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2007,positive,cabinet_appointment,"Appointed Minister of Justice (Garde des Sceaux), a formal national executive-office gain.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,,high,False
2,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2008,positive,mayoral_office_gain,"Became mayor of Paris's 7th arrondissement, a directly held elected local executive office.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,,high,False
3,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2024,positive,cabinet_appointment,Became France's Minister of Culture in January 2024.,https://www.culture.gouv.fr/nous-connaitre/decouvrir-le-ministere/histoire-du-ministere/l-histoire-du-ministere/les-ministres-de-la-culture?limit=9&page=3,Les ministres de la Culture,Ministère de la Culture,,high,Direct formal authority gain.,False,,high,False
7,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2015,positive,team_championship_win,Won the Davis Cup with Great Britain in 2015.,https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct elite team championship win.,False,,high,False
10,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2025,negative,grand_slam_opening_round_loss,"Lost in the opening round of the 2025 US Open, his final event.",https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct loss/elimination in a Grand Slam event.,False,,high,False
11,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1990,positive,four_hills_title_win,Won the Four Hills Tournament in the 1989-90 season.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&cupcode=WC&sectorcode=JP&type=cups,Dieter Thoma athlete biography / cups,FIS,,high,Direct elite season/tournament title.,False,,high,False
12,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1990,positive,world_championship_win,Won the 1990 Ski Flying World Championship.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&sectorcode=JP&type=career,Dieter Thoma career,FIS,,high,Direct world championship title.,False,,high,False
13,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1994,positive,olympic_team_gold,Won Olympic team gold in ski jumping in 1994.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&sectorcode=JP&type=career,Dieter Thoma career,FIS,,high,Direct Olympic championship result.,False,,high,False
14,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1946,negative,grand_slam_final_loss,Finished runner-up in the U.S. Nationals women's singles final.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major final loss.,False,,high,False
15,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1949,positive,grand_slam_title_win,Won the Australian Championships women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,,high,False
16,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1951,positive,grand_slam_title_win,Won the Wimbledon women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,,high,False
17,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1954,positive,grand_slam_title_win,Won the U.S. Nationals women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,,high,False
18,1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,1979,positive,grand_slam_title_win,Won the 1979 Australian Open women's singles title.,https://ausopen.com/history/honour-roll/womens-singles,Women's Singles Honour Roll,Australian Open,,high,Direct Grand Slam title.,False,,high,False
19,1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,1983,negative,grand_slam_early_round_loss,Lost in the Australian Open singles field in the round of 64.,https://www.wtatennis.com/legends/100018/barbara-jordan/record,Barbara Jordan record,WTA,,high,Direct Grand Slam elimination.,False,,high,False
