priority,pool,subject_id,name,event_id,year,legacy_career_label,event_type,description,source_event_confidence,source_ref,suggested_axis,suggested_subtype,suggestion_source,proposed_polarity,review_status,medium_issue_codes,taxonomy_confirmed,secondary_source_confirmed,v4_model_eligible,final_axis,final_subtype,final_polarity,taxonomy_review_status,taxonomy_review_note,taxonomy_confirmed_final,source1_audit_status,secondary_review_scope,secondary_source_status,secondary_source_reference,secondary_source_note,source_review_status,final_review_status,source_pair_eligible,chronology_gate_passed
1,NEW_DEV_2_CONSUMED,NEWDEV2_004,Bob Hayes,NEWDEV2_004_E001,1964,positive,major_title,Won Olympic gold in the 100 metres and 4x100-metre relay before entering pro football.,high,https://en.wikipedia.org/wiki/Bob_Hayes,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,False,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,NONPAIRABLE_OR_NONCORE_DEFERRED,NOT_CONFIRMED_THIS_PASS,,,SOURCE1_PRESENT_SECONDARY_NOT_CONFIRMED,TAXONOMY_CONFIRMED_SECONDARY_UNCONFIRMED,False,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_005,Bob Knight,NEWDEV2_005_E001,1976,positive,major_title,Coached Indiana to an undefeated NCAA men's basketball championship.,high,https://en.wikipedia.org/wiki/Bob_Knight,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,False,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,NONPAIRABLE_OR_NONCORE_DEFERRED,NOT_CONFIRMED_THIS_PASS,,,SOURCE1_PRESENT_SECONDARY_NOT_CONFIRMED,TAXONOMY_CONFIRMED_SECONDARY_UNCONFIRMED,False,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_005,Bob Knight,NEWDEV2_005_E002,2000,negative,fired,Indiana University fired him after 29 seasons amid repeated conduct controversies.,high,https://en.wikipedia.org/wiki/Bob_Knight,STATUS,ROLE_LOSS,DIRECT_EVENT_TYPE_RULE,negative,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,False,False,STATUS,ROLE_LOSS,negative,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,NONPAIRABLE_OR_NONCORE_DEFERRED,NOT_CONFIRMED_THIS_PASS,,,SOURCE1_PRESENT_SECONDARY_NOT_CONFIRMED,TAXONOMY_CONFIRMED_SECONDARY_UNCONFIRMED,False,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_006,Bob Lilly,NEWDEV2_006_E002,1971,negative,major_loss,Dallas lost Super Bowl V to the Baltimore Colts.,high,https://en.wikipedia.org/wiki/Bob_Lilly,COMPETITIVE,MAJOR_LOSS,DIRECT_EVENT_TYPE_RULE,negative,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,True,False,COMPETITIVE,MAJOR_LOSS,negative,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,PAIR_CANDIDATE_TARGETED,CONFIRMED,Pro Football Hall of Fame / Dallas Cowboys official,Super Bowl V loss and Super Bowl VI win verified.,SECONDARY_CONFIRMED,SOURCE_VERIFIED_PAIR_CANDIDATE_CHRONOLOGY_BLOCK,True,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_006,Bob Lilly,NEWDEV2_006_E001,1972,positive,major_title,Won Super Bowl VI with the Dallas Cowboys.,high,https://en.wikipedia.org/wiki/Bob_Lilly,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,True,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,PAIR_CANDIDATE_TARGETED,CONFIRMED,Pro Football Hall of Fame / Dallas Cowboys official,Super Bowl V loss and Super Bowl VI win verified.,SECONDARY_CONFIRMED,SOURCE_VERIFIED_PAIR_CANDIDATE_CHRONOLOGY_BLOCK,True,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_007,Bob Mathias,NEWDEV2_007_E001,1952,positive,major_title,Won his second consecutive Olympic decathlon gold medal.,high,https://en.wikipedia.org/wiki/Bob_Mathias,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,False,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,NONPAIRABLE_OR_NONCORE_DEFERRED,NOT_CONFIRMED_THIS_PASS,,,SOURCE1_PRESENT_SECONDARY_NOT_CONFIRMED,TAXONOMY_CONFIRMED_SECONDARY_UNCONFIRMED,False,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_007,Bob Mathias,NEWDEV2_007_E002,1966,negative,election_loss,Lost his bid for reelection to the U.S. House of Representatives.,high,https://en.wikipedia.org/wiki/Bob_Mathias,STATUS,ELECTION_LOSS,DIRECT_EVENT_TYPE_RULE,negative,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,False,False,STATUS,ELECTION_LOSS,negative,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,NONPAIRABLE_OR_NONCORE_DEFERRED,NOT_CONFIRMED_THIS_PASS,,,SOURCE1_PRESENT_SECONDARY_NOT_CONFIRMED,TAXONOMY_CONFIRMED_SECONDARY_UNCONFIRMED,False,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_010,Bob Pettit,NEWDEV2_010_E002,1957,negative,major_loss,Lost the NBA Finals to the Boston Celtics in Game 7.,high,https://en.wikipedia.org/wiki/Bob_Pettit,COMPETITIVE,MAJOR_LOSS,DIRECT_EVENT_TYPE_RULE,negative,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,True,False,COMPETITIVE,MAJOR_LOSS,negative,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,PAIR_CANDIDATE_TARGETED,CONFIRMED,NBA official / historical Finals records,1957 Finals loss and 1958 championship verified.,SECONDARY_CONFIRMED,SOURCE_VERIFIED_PAIR_CANDIDATE_CHRONOLOGY_BLOCK,True,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_010,Bob Pettit,NEWDEV2_010_E001,1958,positive,major_title,Led the St. Louis Hawks to the NBA championship over Boston.,high,https://en.wikipedia.org/wiki/Bob_Pettit,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,True,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,PAIR_CANDIDATE_TARGETED,CONFIRMED,NBA official / historical Finals records,1957 Finals loss and 1958 championship verified.,SECONDARY_CONFIRMED,SOURCE_VERIFIED_PAIR_CANDIDATE_CHRONOLOGY_BLOCK,True,False
1,NEW_DEV_2_CONSUMED,NEWDEV2_011,Bob Richards,NEWDEV2_011_E001,1956,positive,major_title,Won his second consecutive Olympic pole vault gold medal.,high,https://en.wikipedia.org/wiki/Bob_Richards,COMPETITIVE,TITLE_WIN,DIRECT_EVENT_TYPE_RULE,positive,DIRECT_RULE_NEEDS_SOURCE_CONFIRMATION,SECOND_SOURCE_AUDIT_REQUIRED,True,True,False,COMPETITIVE,TITLE_WIN,positive,CONFIRMED,event_type semantic rule,True,PROVIDED_SOURCE_PRESENT,PAIR_CANDIDATE_TARGETED,CONFIRMED,Olympedia,1956 Olympic pole-vault gold verified.,SECONDARY_CONFIRMED,CONFIRMED_BUT_NO_CONFIRMED_OPPOSITE_PAIR,False,False
