index,batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason,source_quality_norm
1,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2007,positive,cabinet_appointment,"Appointed Minister of Justice (Garde des Sceaux), a formal national executive-office gain.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,,high
2,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2008,positive,mayoral_office_gain,"Became mayor of Paris's 7th arrondissement, a directly held elected local executive office.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,,high
3,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2024,positive,cabinet_appointment,Became France's Minister of Culture in January 2024.,https://www.culture.gouv.fr/nous-connaitre/decouvrir-le-ministere/histoire-du-ministere/l-histoire-du-ministere/les-ministres-de-la-culture?limit=9&page=3,Les ministres de la Culture,Ministère de la Culture,,high,Direct formal authority gain.,False,,high
4,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2026,negative,election_defeat,Lost the 2026 Paris mayoral election; Emmanuel Grégoire and the united left won while Dati finished behind.,https://www.lemonde.fr/en/politics/article/2026/03/23/paris-municipal-elections-emmanuel-gregoire-and-the-united-left-achieve-a-resounding-victory_6751716_5.html,Paris municipal elections: Emmanuel Grégoire and the united left achieve a resounding victory,Le Monde,,medium,Direct defeat in an election for formal executive authority.,False,,medium
5,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2026,negative,voluntary_resignation,Left the Culture Ministry in February 2026 to focus on the Paris mayoral race.,https://www.reuters.com/world/french-culture-minister-dati-quits-focus-run-paris-mayor-2026-02-25/,French culture minister Dati quits to focus on run for Paris mayor,Reuters,,medium,Logged for audit; departure was voluntary and therefore not a frozen negative-status event.,True,voluntary_role_exit_not_negative_status,medium
6,1,2,V5CONFIRM_060,Walter Dirks,STATUS,1956,positive,department_leadership_appointment,"Became the first head of the main Culture department at Westdeutscher Rundfunk, serving through 1967.",https://www.kas.de/de/web/geschichte-der-cdu/personen/biogramm-detail/-/content/walter-dirks,Walter Dirks,Konrad-Adenauer-Stiftung,,medium,Formal leadership-role gain inside a major public broadcaster.,False,,medium
7,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2015,positive,team_championship_win,Won the Davis Cup with Great Britain in 2015.,https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct elite team championship win.,False,,high
8,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2016,positive,grand_slam_title_win,Won the Australian Open men's doubles title in 2016.,https://www.jamiemurraytennis.com/,Jamie Murray Tennis,Jamie Murray official site,,medium,Direct Grand Slam title win.,False,,medium
9,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2016,positive,grand_slam_title_win,Won the US Open men's doubles title in 2016.,https://www.jamiemurraytennis.com/,Jamie Murray Tennis,Jamie Murray official site,,medium,Direct Grand Slam title win.,False,,medium
10,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2025,negative,grand_slam_opening_round_loss,"Lost in the opening round of the 2025 US Open, his final event.",https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct loss/elimination in a Grand Slam event.,False,,high
