pool,subject_id,name,event_id,year,issue_code,severity,details
NEW_DEV_2_CONSUMED,NEWDEV2_064,Tony Bettenhausen,NEWDEV2_064_E001,1951.0,CAREER_EVENT_IMPLAUSIBLY_YOUNG,CRITICAL,Career event age 0.0 < 12; strong identity-mismatch risk.
NEW_DEV_2_CONSUMED,NEWDEV2_064,Tony Bettenhausen,NEWDEV2_064_E002,1961.0,CAREER_EVENT_IMPLAUSIBLY_YOUNG,CRITICAL,Career event age 10.0 < 12; strong identity-mismatch risk.
V1,MLV1_OLD_032,김연아,"MLV1_OLD_032_E0342,MLV1_OLD_032_E0347",2014.0,CAREER_SAME_YEAR_LABEL_COLLISION,CRITICAL,Positive and negative Career labels occur in the same subject-year.
V1,MLV1_OLD_038,이명박,"MLV1_OLD_038_E0397,MLV1_OLD_038_E0401",2008.0,CAREER_SAME_YEAR_LABEL_COLLISION,CRITICAL,Positive and negative Career labels occur in the same subject-year.
V1,MLV1_OLD_052,노무현,"MLV1_OLD_052_E0523,MLV1_OLD_052_E0526",2004.0,CAREER_SAME_YEAR_LABEL_COLLISION,CRITICAL,Positive and negative Career labels occur in the same subject-year.
V1,MLV1_OLD_053,전소연,"MLV1_OLD_053_E0529,MLV1_OLD_053_E0536",2016.0,CAREER_SAME_YEAR_LABEL_COLLISION,CRITICAL,Positive and negative Career labels occur in the same subject-year.
V1,MLV1_OLD_055,Lionel Messi,"MLV1_OLD_055_E0561,MLV1_OLD_055_E0572",2021.0,CAREER_SAME_YEAR_LABEL_COLLISION,CRITICAL,Positive and negative Career labels occur in the same subject-year.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0003,1987.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0006,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0007,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0013,2019.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0015,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0008,2024.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
