pair_id,pair_origin,pool,subject_id,name,axis,positive_event_id,positive_year,positive_description,negative_event_id,negative_year,negative_description,positive_source_status,negative_source_status,positive_source_reference,negative_source_reference,positive_measurement_basis,negative_measurement_basis,source_pair_eligible,positive_age,negative_age,positive_earlier,abs_year_gap,age_only_pairwise,calendar_earlier_only_pairwise,n_pairs_subject,subject_equal_pair_weight,chronology_gate_passed,model_ready,positive_earlier_calc,age_only_calc
V4PRE_PAIR_001,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_006,Bob Lilly,COMPETITIVE,NEWDEV2_006_E001,1972,Won Super Bowl VI with the Dallas Cowboys.,NEWDEV2_006_E002,1971,Dallas lost Super Bowl V to the Baltimore Colts.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_006_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_006_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,33,32,False,1,0.0,0.0,1,1.0,True,True,False,0.0
V4PRE_PAIR_002,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_010,Bob Pettit,COMPETITIVE,NEWDEV2_010_E001,1958,Led the St. Louis Hawks to the NBA championship over Boston.,NEWDEV2_010_E002,1957,Lost the NBA Finals to the Boston Celtics in Game 7.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_010_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_010_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,26,25,False,1,0.0,0.0,1,1.0,True,True,False,0.0
V4PRE_PAIR_003,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_013,Bob Seagren,COMPETITIVE,NEWDEV2_013_E001,1968,Won the Olympic pole vault gold medal.,NEWDEV2_013_E002,1972,Won only silver at the Munich Olympics after a last-minute pole ban controversy disrupted the competition.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_013_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_013_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,22,26,True,4,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_004,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_016,Bobby Bell,COMPETITIVE,NEWDEV2_016_E001,1970,Won Super Bowl IV with the Kansas City Chiefs.,NEWDEV2_016_E002,1967,The Chiefs lost Super Bowl I to the Green Bay Packers.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_016_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_016_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,30,27,False,3,0.0,0.0,1,1.0,True,True,False,0.0
V4PRE_PAIR_005,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_019,Bo Derek,PROJECT,NEWDEV2_019_E001,1979,The film 10 made her an international star and breakthrough screen figure.,NEWDEV2_019_E002,1984,Bolero was widely panned and received multiple Golden Raspberry awards.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_019_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_019_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,23,28,True,5,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_006,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_024,Bill Forsyth,PROJECT,NEWDEV2_024_E001,1983,Local Hero brought major international critical acclaim and awards recognition.,NEWDEV2_024_E002,1999,Gregory's Two Girls received a limited release and was followed by a long break from feature directing.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_024_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_024_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,37,53,True,16,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_007,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_028,Billy Backus,COMPETITIVE,NEWDEV2_028_E001,1970,Won the world welterweight championship by defeating José Nápoles.,NEWDEV2_028_E002,1971,Lost the welterweight title to Nápoles in their rematch.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_028_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_028_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,27,28,True,1,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_008,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_029,Billy Casper,COMPETITIVE,NEWDEV2_029_E001,1966,Won the U.S. Open after an 18-hole playoff against Arnold Palmer.,NEWDEV2_029_E002,1969,"Finished tied for second at the Masters, narrowly missing another major championship.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_029_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_029_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,35,38,True,3,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_009,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_030,Billy Kidd,COMPETITIVE,NEWDEV2_030_E001,1964,"Won Olympic silver in the slalom, the first U.S. men's Olympic medal in alpine skiing.",NEWDEV2_030_E002,1968,Was unable to match his 1964 Olympic success at Grenoble amid injuries and inconsistent results.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_030_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_030_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,21,25,True,4,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_010,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_035,Bill Steinkraus,COMPETITIVE,NEWDEV2_035_E001,1968,Won individual Olympic gold in show jumping.,NEWDEV2_035_E002,1972,Failed to repeat his individual Olympic title at Munich.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_035_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_035_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,43,47,True,4,1.0,1.0,1,1.0,True,True,True,1.0
