batch_id,research_order_in_batch,subject_id,name,preassigned_axis,sweep_status,eligible_event_rows,excluded_candidate_rows,positive_eligible,negative_eligible,both_polarities,source_high_rows,source_medium_rows,notes
4,1,V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,2,1,True,3,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,2,V5CONFIRM_047,Liliane Bettencourt,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,3,V5CONFIRM_033,Hélène Grimaud,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,4,V5CONFIRM_024,Nadine Trintignant,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,1,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,5,V5CONFIRM_074,Horst Wessel,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,6,V5CONFIRM_003,Pauline Betz,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,2,2,True,4,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,7,V5CONFIRM_055,Umberto Agnelli,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,8,V5CONFIRM_038,Chris Farley,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,9,V5CONFIRM_071,Jack Valenti,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,10,V5CONFIRM_076,François Fillon,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,2,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,11,V5CONFIRM_017,Patrick Vieira,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,1,1,True,2,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,12,V5CONFIRM_037,Oliver Stone,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,2,1,True,2,1,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,13,V5CONFIRM_009,Hans Günter Winkler,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,3,0,3,0,False,3,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,14,V5CONFIRM_023,Belinda Carlisle,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,15,V5CONFIRM_011,Pierre Pellizza,COMPETITIVE,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,4,0,2,2,True,0,4,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,16,V5CONFIRM_027,David Morse,PROJECT,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,0,2,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,17,V5CONFIRM_053,Malcolm X,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,2,1,1,1,True,3,0,Both polarities arose naturally from the blind bounded source sweep. No pairability or year-gap criterion was inspected.
4,18,V5CONFIRM_054,Charles Wilson,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,1,1,0,False,2,0,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
4,19,V5CONFIRM_051,Sonia Rykiel,STATUS,COMPLETE_FIRST_PASS_BLIND_SOURCE_SWEEP,1,0,1,0,False,0,1,Eligible events are one-sided in the frozen axis; no opposite-polarity event was invented or backfilled for pairability.
